"Data Source","World Development Indicators",

"Last Updated Date","2017-02-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Angola","AGO","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","24.0087182588","23.6653257599","20.5663381187","23.0067759077","25.6668909732","29.050426035","16.9934260944","29.3155537824","31.4618260232","38.0521443153","49.0347456226","43.5478637647","48.3896014372","36.6191919664","38.0849696555","45.9790430501","64.3226865295","63.208685772","44.7275596516","65.0994823886","100","82.4895846484","105.1382401212","120.0353490721","170.117409418","304.3681353364","402.249715945","560.4873122081","806.8930690569","515.4387072339","638.7438454741","849.7702310314","897.5293523545","861.5896730211","747.00018937","418.6908218659","",
"Angola","AGO","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","6.4882400648824","7.40463724756919","6.63507109004739","5.74923547400612","5.34051935325821","6.16161616161616","6.58193372673627","5.11627906976744","6.30361805296531","6.90928221645149","5.74946919437996","6.31954588680503","7.36419856259402","5.55403863776627","3.49449945173476","","","","","","","0.109218560689564","0.0002863106298577","0.000574273016880534","0.0448499337303179","0.0545302538643705","0.621711072013361","0.856616339773991","1.05441551130825","1.57220523575485","0.473790908341099","0.104761550754102","0.527777488820437","0.249550386295888","1.21021424300965","0.552128548952116","1.50415709276901","1.34918634484989","0.300823347232069","1.007174230063","0.220820401542159","0.178531434016389","0.448824819229113","0.101628212274552","2.2966244108332","1.51823594184976","1.29507100347158","4.45262465584306","4.5672110126215","3.93847700165949","4.12425116330772","2.74031541630525","4.27421677458301","4.10453996916036","3.51233243856328","","",
"Angola","AGO","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","123300000","133700000","147700000","163500000","204100000","198000000","220300000","236500000","268100000","326937000","423413000","408004000","478640000","802065000","1229332000","","","","","","","1355401258.837","1270076363.636","1741332033.032","1918295809.011","2177073072.564","1555479680.304","2219862523.277","2487618433.266","2880980305.497","3748110047.974","3097252127.764","3526519100.835","2883584149.552","2933675608.04","3411536840.194","4543834788.421","4310245646.407","3477237988.164","4393559278.027","7314907056.985","6170312873.283","7220223084.189","8499487492.938","11694055044.75","20207958350.11","29308374132.17","37616307056.29","62021260431.76","35999781379.34","48291211116.63","59619839885.14","65615610171.19","63572844095.31","58739648480.14","","",
"Angola","AGO","Merchandise exports by the reporting economy, residual (% of total merchandise exports)","TX.VAL.MRCH.RS.ZS","5.6772100567721","4.4128646222887","5.61949898442789","6.05504587155963","4.26261636452719","4.6969696969697","4.22151611438947","6.00422832980972","3.91644908616189","3.3679271541612","3.39951772855345","4.28108547955412","2.76846899548721","5.19907987507247","4.31315543726186","","","","","","","17.2389070846827","18.8821860388621","16.53890626623","8.36779657000163","13.3601604011924","15.0849695650009","13.5297690545142","20.1761841857927","17.8309565917456","16.1941699762571","10.2127296473131","11.4694842729781","7.0289439848709","6.56087043224227","10.1283541168097","12.8616878875199","14.098239558498","5.87378684651443","3.85640986345658E-12","4.49719295861523E-12","2.12056076385652E-12","6.22057822309668E-12","5.04857676795588E-12","-8.55328233147729E-12","-6.92586870837117E-12","-1.60388300252094E-11","1.06405211441077E-11","-9.68954623462729E-12","-8.34271411066398E-12","1.45076708264349E-11","1.68237111037642E-12","-3.04710753908919E-12","-6.29453894754386E-12","6.8144934947806E-12","","",
"Angola","AGO","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","6.4882400648824","7.40463724756919","6.63507109004739","5.74923547400612","5.34051935325821","6.16161616161616","6.58193372673627","5.11627906976744","6.30361805296531","6.90928221645149","5.74946919437996","6.31954588680503","7.36419856259402","5.55403863776627","3.49449945173476","","","","","","","0.109218560689564","0.0002863106298577","0.000574273016880534","0.0448499337303179","0.0545302538643705","0.621711072013361","0.856616339773991","1.05441551130825","1.57220523575485","0.473790908341099","0.104761550754102","0.527777488820437","0.249550386295888","1.21021424300965","0.552128548952116","1.50415709276901","1.34918634484989","0.300823347232069","1.007174230063","0.220820401542159","0.178531434016389","0.448824819229113","0.101628212274552","2.2966244108332","1.51823594184976","1.29507100347158","4.45262465584306","4.5672110126215","3.93847700165949","4.12425116330772","2.74031541630525","4.27421677458301","4.10453996916036","3.51233243856328","","",
"Angola","AGO","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000161329670941038","0.0679798435228309","0.0192499092040129","0.00445685692681415","0.0145352595359739","0.575909506559526","1.99450644339991","1.80367160080183","8.65722542997048","9.12421644119139","9.17362958956923","10.0715327001601","8.8461638095831","8.748714410076","","",
"Angola","AGO","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","0.48661800486618","0.224382946896036","0.880162491536899","0.428134556574924","0.0489955903968643","0.0505050505050505","0.136177939173854","1.47991543340381","0.0372995151063036","0.259683058203874","0.162252930354051","0.0590680483524671","0.0321744944008023","0.0644586161969416","0.128931810121269","","","","","","","2.91963188131353","0.596241886672676","0.435403360071231","0","0","5.8444409182017E-05","0","0","0","3.04411132543117E-05","0","2.83828281594449E-05","0.000108356312576674","0.000336975841684989","0.001348446625178","0.00797258394625935","0.00340019917166134","0.0022564051082718","0.000723611648412238","0.00128031858309354","0.000293820696674881","0.00392596810408441","0.00611096744541193","0.0116054201284035","0.00165541877535926","0.00154294452842928","0.0386216476590056","0.00102477324855806","0.000739536502946343","0.00725898579920235","0.000342694710363059","0.011984294970453","0.0120838813200458","0.000252052311626546","","",
"Angola","AGO","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.50623728624557","8.39803321909061","1.89216600668834","2.72011865983523","4.8234098901839","0.912680503137191","0.960357868419842","0.518973534711013","1.14808910359129","3.14580048314151","0.946860187284701","1.83263464614475","1.53295786440931","0.429984233944512","2.83858382522197","0.161923737157537","0.0887686088286363","0.0315498864136643","1.398794917618","2.00763351162166","4.14429670881348","5.11185927676902","1.12494554032351","1.478283719735","2.01617820883918","0.718306986578088","1.47464057488276","1.89028196420074","","",
"Angola","AGO","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
